PROVIDER,CITY,COUNTRY
BUPA HEALTH CENTRE - GUILDFORD,"9-11 CHERTSEY STREET, GUILDFORD, SURREY GU1 4HD",UNITED KINGDOM
BUPA HEALTH CENTRE - MILTON KEYNES,"BLACKBERRY COURT, WALNUT TREE, MILTON KEYNES MK7 7PB",UNITED KINGDOM
BUPA HEALTH CENTRE - READING,"CENTURION COURT, 64 LONDON ROAD, READING, BERKSHIRE RG1 5AS",UNITED KINGDOM
BUPA HEALTH CENTRE - SOUTHAMPTON,"SPIRE SOUTHAMPTON HOSPITAL, AUCKLAND ROAD, SOUTHAMPTON SO15 0SD",UNITED KINGDOM
BUPA HEALTH CENTRE - CAMBRIDGE,"CONQUEROR HOUSE, CHIVERS WAY, HISTON, CAMBRIDGE CB24 9ZR",UNITED KINGDOM
BUPA HEALTH CENTRE - CHELMSFORD,,UNITED KINGDOM
BUPA HEALTH CENTRE - NORWICH,"SPIRE NORWICH HOSPITAL, OLD WATTON ROAD, COLNEY, NORWICH NR4 7TA",UNITED KINGDOM
BUPA HEALTH CENTRE - SOUTHEND,"SPIRE WELLESLEY HOSPITAL, EASTERN AVENUE, SOUTHEND-ON-SEA, ESSEX SS2 4XH",UNITED KINGDOM
BUPA HEALTH CENTRE - BIRMINGHAM (EDGBASTON),,UNITED KINGDOM
BUPA HEALTH CENTRE - SOLIHULL,"47 STATION ROAD, SOLIHULL, WEST MIDLANDS B91 3RT",UNITED KINGDOM
BUPA HEALTH CENTRE - LEICESTER,"SPIRE LEICESTER HOSPITAL, GARTREE ROAD, OADBY, LEICESTER LE2 2FF",UNITED KINGDOM
BUPA HEALTH CENTRE - NOTTINGHAM,"4 MILLENNIUM WAY WEST, PHOENIX PARK WEST, NOTTINGHAM NG8 6AS",UNITED KINGDOM
BUPA HEALTH CENTRE - LIVERPOOL,,UNITED KINGDOM
BUPA HEALTH CENTRE - MANCHESTER Â€“ DIDSBURY,"SPIRE MANCHESTER HOSPITAL, 170 BARLOW MOOR ROAD, WEST DIDSBURY, MANCHESTER M20 2AF",UNITED KINGDOM
BUPA HEALTH CENTRE - MANCHESTER Â€“ MARBLE STREET,"4 MARBLE STREET, SPRING GARDENS, MANCHESTER M2 1FB",UNITED KINGDOM
BUPA HEALTH CENTRE - PRESTON,,UNITED KINGDOM
BUPA HEALTH CENTRE - LEEDS,"TRAFALGAR HOUSE, 29 PARK PLACE, LEEDS LS1 2SP",UNITED KINGDOM
BUPA HEALTH CENTRE - SHEFFIELD,"3 SANDYGATE PARK, SHEFFIELD S10 5TZ",UNITED KINGDOM
BUPA HEALTH CENTRE - NEWCASTLE,,UNITED KINGDOM
BUPA HEALTH CENTRE - ABERDEEN,"32 SCOTSTOWN ROAD, BRIDGE OF DON, ABERDEEN AB23 8HG",UNITED KINGDOM
BUPA HEALTH CENTRE - EDINBURGH,"SPIRE MURRAYFIELD HOSPITAL, 118 CORSTORPHINE ROAD, EDINBURGH EH12 6TU",UNITED KINGDOM
BUPA HEALTH CENTRE - GLASGOW,"147/149 ST. VINCENT STREET, GLASGOW G2 5NW",UNITED KINGDOM
BUPA HEALTH CENTRE - CARDIFF,"SPIRE CARDIFF HOSPITAL, CROESCARDARN ROAD, PENTWYN, CARDIFF CF23 8XL",UNITED KINGDOM
BUPA HEALTH CENTRE - BELFAST,,UNITED KINGDOM
ONZE LIEVE VROUW ZIEKENHUIS - CAMPUS OLV AALST,AALST,BELGIUM
CENTRE IMEDIA ERASME,ANDERLECHT,BELGIUM
CHIREC - CLINIQUE SAINTE ANNE - SAINT REMI,ANDERLECHT,BELGIUM
ALGEMEEN ZIEKENHUIS AZ MONICA - POLIKLINIEK BLANCEFLOER,ANTWERPEN,BELGIUM
GASTHUISZUSTERS ANTWERPEN GZA ZIEKENHUIZEN - SINT VINCENTIUS,ANTWERPEN,BELGIUM
SINT JOZEFKLINIEK CAMPUS BORNEM,ANTWERPEN,BELGIUM
ZIEKENHUISNETWERK ANTWERPEN ZNA - CAMPUS STUIVENBERG,ANTWERPEN,BELGIUM
VIVALIA - HOPITAL D'ARLON,ARLON,BELGIUM
CHIREC - HOPITAL DELTA,AUDERGHEM,BELGIUM
INSTITUT MEDICAL SPECIALISE SA,BOUSSU,BELGIUM
POLE HOSPITALIER JOLIMONT - HOPITAL DE WARQUIGNIES,BOUSSU,BELGIUM
CHIREC - HOPITAL DE BRAINE L'ALLEUD WATERLOO,BRAINE-L'ALLEUD,BELGIUM
ALGEMEEN ZIEKENHUIS AZ KLINA,BRASSCHAAT,BELGIUM
ALGEMEEN ZIEKENHUIS AZ SINT JAN - CAMPUS SINT JAN,BRUGGE,BELGIUM
CHIREC - CENTRE MEDICAL EUROPE-LAMBERMONT,BRUXELLES,BELGIUM
CHIREC - CITY CLINIC LOUISE,BRUXELLES,BELGIUM
CLINIQUE SAINT JEAN (KLINIEK SINT JAN) - SITE BOTANIQUE,BRUXELLES,BELGIUM
HOPITAL UNIVERSITAIRE ERASME,BRUXELLES,BELGIUM
RESEAU IRIS - HOPITAL UNIVERSITAIRE DES ENFANTS REINE FABIOLA (HUDERF),BRUXELLES,BELGIUM
GRAND HOPITAL DE CHARLEROI - SITE NOTRE DAME,CHARLEROI,BELGIUM
HOPITAL CIVIL MARIE CURIE,CHARLEROI,BELGIUM
CENTRE HOSPITALIER UNIVERSITAIRE CHU LIEGE - POLYCLINIQUE DE CHAUDFONTAINE,CHAUDFONTAINE,BELGIUM
UNIVERSITAIR ZIEKENHUIS UZ ANTWERPEN (UZA),EDEGEM,BELGIUM
CLINIQUES DE L’EUROPE - SITE SAINT MICHEL (EUROPAZIEKENHUIZEN),ETTERBEEK,BELGIUM
RESEAU IRIS - HOPITAUX IRIS SUD - SITE BARON LAMBERT,ETTERBEEK,BELGIUM
SINT NIKOLAUS HOSPITAL,EUPEN,BELGIUM
ZIEKENHUIS GEEL (SINT DIMPNA),GEEL,BELGIUM
WIT GELE KRUIS,GENT,BELGIUM
JESSA ZIEKENHUIS - CAMPUS VIRGA JESSE,HASSELT,BELGIUM
CLINIQUE ANDRE RENARD,HERSTAL,BELGIUM
JAN YPERMAN ZIEKENHUIS - CAMPUS IEPER,IEPER,BELGIUM
CHIREC - CENTRE MEDICAL PARC LEOPOLD,IXELLES,BELGIUM
RESEAU IRIS - HOPITAUX IRIS SUD - SITE ETTERBEEK IXELLES,IXELLES,BELGIUM
UNIVERSITAIR ZIEKENHUIS UZ BRUSSEL,JETTE,BELGIUM
UNIVERSITAIR PSYCHIATRISCH CENTRUM UPC KU LEUVEN - CAMPUS KORTENBERG,KORTENBERG,BELGIUM
REGIONAAL ZIEKENHUIS RZ HEILIG HART,LEUVEN,BELGIUM
UNIVERSITAIR ZIEKENHUIS UZ LEUVEN - CAMPUS GASTHUISBERG,LEUVEN,BELGIUM
UNIVERSITAIRE HUISARTEN GREOPSPRAKTIJK KU LEUVEN,LEUVEN,BELGIUM
CENTRE HOSPITALIER UNIVERSITAIRE CHU LIEGE - POLYCLINIQUE LUCIEN BRULL,LIEGE,BELGIUM
CENTRE HOSPITALIER UNIVERSITAIRE CHU LIEGE - SART TILMAN,LIEGE,BELGIUM
CLINIQUE DU MONT SAINT MARTIN,LIEGE,BELGIUM
POLE HOSPITALIER JOLIMONT - HOPITAL DE LOBBES,LOBBES,BELGIUM
ALGEMEEN ZIEKENHUIS AZ VOORKEMPEN,MALLE,BELGIUM
HEILIG HART ZIEKENHUIS,MOL,BELGIUM
POLE HOSPITALIER JOLIMONT - HOPITAL DE MONS,MONS,BELGIUM
CENTRE HOSPITALIER UNIVERSITAIRE CHU CHARLEROI - SITE ANDRE VESALE,MONTIGNY-LE-TILLEUL,BELGIUM
CENTRE HOSPITALIER DE MOUSCRON,MOUSCRON,BELGIUM
CENTRE HOSPITALIER REGIONAL SAMBRE ET MEUSE (CHRSM) - SITE MEUSE,NAMUR,BELGIUM
POLE HOSPITALIER JOLIMONT - HOPITAL DE NIVELLES,NIVELLES,BELGIUM
KONINGIN ELISABETH INSTITUUT,OOSTDUINKERKE,BELGIUM
SPRL DELHACHE LUTTRE,PONT A CELLES,BELGIUM
SANATIA,SAINT JOSSE TEN NOODE,BELGIUM
KLINIK SANKT JOSEF VOG,SANKT VITH,BELGIUM
WIJKGEZONDHEIDSCENTRUM DE VLIER,SINT NIKLAAS,BELGIUM
REGIONAAL ZIEKENHUIS RZ HEILIG HART TIENEN - CAMPUS MARIENDAL,TIENEN,BELGIUM
CENTRE HOSPITALIER REGIONAL CHR HAUTE SENNE - CENTRE MEDICAL DE TUBIZE,TUBIZE,BELGIUM
POLE HOSPITALIER JOLIMONT - HOPITAL DE TUBIZE,TUBIZE,BELGIUM
CHIREC - CENTRE MEDICAL EDITH CAVELL,UCCLE,BELGIUM
CLINIQUES DE L'EUROPE - SITE SAINTE ELISABETH (EUROPAZIEKENHUIZEN),UCCLE,BELGIUM
ALGEMEEN ZIEKENHUIS AZ WEST,VEURNE,BELGIUM
ALGEMEEN ZIEKENHUIS AZ JAN PORTAELS,VILVOORDE,BELGIUM
OMEGA VZW,WEMMEL,BELGIUM
CENTRE MEDICAL MALOU,WOLUWE SAINT LAMBERT,BELGIUM
CLINIQUES UNIVERSITAIRES SAINT LUC,WOLUWE-SAINT-LAMBERT,BELGIUM
CHU UCL NAMUR,YVOIR,BELGIUM
DOCTEUR CHRISTIAN BOUVE,YVOIR,BELGIUM
ALGEMEEN ZIEKENHUIS AZ SINT ELISABETH,ZOTTEGEM,BELGIUM
ALL PUBLIC AND PRIVATE HOSPITALS AND CLINICS ACCEPT APRIL INTERNATIONAL'S LETTERS OF GUARANTEE FOR INPATIENT CARE.,ALL CITIES,FRANCE
HOCHTAUNUS KLINIKEN,BAD HOMBURG,GERMANY
CHARITE CAMPUS BENJAMIN FRANKLIN (CBF),BERLIN,GERMANY
DOMINIKUS-KRANKENHAUS BERLIN,BERLIN,GERMANY
DRK KLINIKEN BERLIN,BERLIN,GERMANY
EVANGELISCHES WALDKRANKENHAUS SPANDAU,BERLIN,GERMANY
FRANZISKUS-KRANKENHAUS HOSPITAL,BERLIN,GERMANY
HELIOS KLINIKUM BERLIN-BUCH,BERLIN,GERMANY
HELIOS KLINIKUM EMIL VON BEHRING,BERLIN,GERMANY
JEWISH HOSPITAL BERLIN,BERLIN,GERMANY
KRANKENHAUS WALDFRIEDE BERLIN,BERLIN,GERMANY
MARTIN-LUTHER-KRANKENHAUS,BERLIN,GERMANY
MARTIN-LUTHER-KRANKENHAUSBETRIEB GMBH,BERLIN,GERMANY
SANA KLINIKUM LICHTENBERG,BERLIN,GERMANY
SCHLOSSPARK KLINIK,BERLIN,GERMANY
ST GERTRAUDEN-KRANKENHAUS GMBH,BERLIN,GERMANY
ST. HEDWIG KRANKENHAUS,BERLIN,GERMANY
ST. MARIEN-HOSPITAL BERLIN,BERLIN,GERMANY
UNFALLKRANKENHAUS BERLIN,BERLIN,GERMANY
VIVANTES AUGUSTE VIKTORIA HOSPITAL,BERLIN,GERMANY
VIVANTES HOSPITAL,BERLIN,GERMANY
VIVANTES KLINIKUM IM FRIEDRICHSHAIN,BERLIN,GERMANY
VIVANTES KLINIKUM NEUKÖLLN,BERLIN,GERMANY
VIVANTES KOMFORTKLINIK (WENCKEBACH-KLINIKUM),BERLIN,GERMANY
VIVANTES NETZWERK FÜR GESUNDHEIT GMBH,BERLIN,GERMANY
ST. JOSEFS-HOSPITAL BOCHUM,BOCHUM,GERMANY
BETA KLINIK GMBH,BONN,GERMANY
ST. ELISABETH -  ST. PETRUS HOSPITAL,BONN,GERMANY
ST. MARIEN HOSPITAL,BONN,GERMANY
STADTISCHES KLINIKUM BRAUNSCHWEIG GGMBH,BRAUNSCHWEIG,GERMANY
EVANGELISCHES KRANKENHAUS KOELN-WEYERTAL GGMBH,COLOGNE,GERMANY
HEILIG GEIST-KRANKENHAUS,COLOGNE,GERMANY
KRANKENHAUS PORZ AM RHEIN,COLOGNE,GERMANY
KRANKENHAUS PORZ AM RHEIN,COLOGNE,GERMANY
PAN KLINIK,COLOGNE,GERMANY
ST. ANTONIUS KRANKENHAUS,COLOGNE,GERMANY
ALICE HOSPITAL DARMSTADT,DARMSTADT,GERMANY
DARMSTADT CHILDREN'S HOSPITAL  PRINCESS MARGARET (DARMSTADTER KINDERKLINIKEN PRINZESSIN MARGARET),DARMSTADT,GERMANY
KLINIKUM DARMSTADT,DARMSTADT,GERMANY
DR. MED. DOROTHE STEBENS,DUSSELDORF,GERMANY
EVANGELISCHES KRANKENHAUS,DUSSELDORF,GERMANY
FLORENCE-NIGHTINGALE-KRANKENHAUS DUSSELDORF,DUSSELDORF,GERMANY
KLINIKEN DER LANDESHAUPTSTADT DÜSSELDORF GGMBH KRANKENHAUS GERRESHEIM,DUSSELDORF,GERMANY
KRANKENHAUS MORSENBROICH-RATH GMBH,DUSSELDORF,GERMANY
MARIEN HOSPITAL DUSSELDORF GMBH,DUSSELDORF,GERMANY
SANA KLINIKEN DUSSELDORF,DUSSELDORF,GERMANY
SANKT MARTINUS-KRANKENHAUS DUESSELDORF,DUSSELDORF,GERMANY
ST. VINZENZ-KRANKENHAUS,DUSSELDORF,GERMANY
UNIVERSITAETSKLINIKUM,DUSSELDORF,GERMANY
UNIVERSITY HOSPITAL OF DÜSSELDORF,DUSSELDORF,GERMANY
MALTESER WALDKRANKENHAUS ERLANGEN,ERLANGEN,GERMANY
ALFRIED KRUPP KRANKENHAUS ESSEN,ESSEN,GERMANY
DR. MED. HANNA-ZOFIA LIBERA,ESSEN,GERMANY
UNIVERISTY HOSPITAL ESSEN,ESSEN,GERMANY
AGAPLESION MARKUS KRANKENHAUS,FRANKFURT AM MAIN,GERMANY
BUERGERHOSPITAL FRANKFURT A. M.,FRANKFURT AM MAIN,GERMANY
